"---------------------------------------------------"
"UCAS Analysis and Insights - Daily Domicile Report"
"---------------------------------------------------"
"This data file should be used in conjunction with ..."
"File: filename"
"Cycle: 2018"
"Reporting coverage: 6 Sep 2017 - 18 Feb 18"
"Applicant coverage: 18 year old applicants"
"Analysis class: Domicile"
"---------------------------------------------------"
The 'Days to Deadline' variable Lorem ipsum dolor sit amet, consectetur adipiscing elit,
The ' 7-Day Moving Average' variable sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Data lines are comma delimited.
Data follows - 9999 lines in total
---------------------------------------------------
Cycle,Date,Day_of_the_week,Day,Month,Year,Domicile_Group,New_apps,7-Day Moving Ave,Days to Deadline,Working Days to Deadline,Days Since Cycle Opened,Bank Holiday
2018,10Jun2017,Saturday,10,6,2017,4.OV,6413,3000,1701,8437,1056,0
2018,04Mar2017,Saturday,4,3,2017,4.OV,404,7622,3027,8942,7839,1
2018,08Jan2017,Sunday,8,1,2017,2.UK,7753,2881,6404,9067,7457,0
2018,09Apr2017,Sunday,9,4,2017,4.OV,6615,2829,2366,628,2665,1
2018,08Feb2017,Wednesday,8,2,2017,1.ALL,1561,5282,2266,3404,2461,1
2018,31May2017,Wednesday,31,5,2017,1.ALL,3869,5898,6786,4096,4502,0
2018,23Apr2017,Sunday,23,4,2017,2.UK,7412,1458,9633,8274,6647,1
2018,24Dec2017,Sunday,24,12,2017,1.ALL,2820,6805,7035,2585,4570,1
2018,28May2017,Sunday,28,5,2017,2.UK,7171,1413,2595,4871,7753,0
2018,15Feb2017,Wednesday,15,2,2017,2.UK,5792,468,61,9318,7459,0
2018,06Jun2017,Tuesday,6,6,2017,3.EU,9740,1808,6360,4637,1365,0
2018,26Nov2017,Sunday,26,11,2017,4.OV,5347,7832,7356,618,2073,1
2018,16Apr2017,Sunday,16,4,2017,2.UK,1119,444,5338,5644,3793,1
2018,02Jan2017,Monday,2,1,2017,2.UK,1516,2409,968,1821,6215,0
2018,20Apr2017,Thursday,20,4,2017,3.EU,3701,2599,1332,8084,5797,1
2018,01Oct2017,Sunday,1,10,2017,3.EU,2916,6513,8030,6679,488,0
2018,11Mar2017,Saturday,11,3,2017,4.OV,608,3000,8437,6379,517,0
2018,11Dec2017,Monday,11,12,2017,3.EU,4454,8941,1571,8184,3712,0
2018,27Aug2017,Sunday,27,8,2017,4.OV,4403,531,9064,3690,5656,0
2018,07Jun2017,Wednesday,7,6,2017,2.UK,3290,5977,8537,1572,5057,1
2018,01Nov2017,Wednesday,1,11,2017,2.UK,8749,8555,2104,5865,6796,0
2018,03Dec2017,Sunday,3,12,2017,4.OV,7553,1593,5297,5247,9259,1
2018,24Dec2017,Sunday,24,12,2017,3.EU,3949,9887,4538,7177,3453,0
2018,23Apr2017,Sunday,23,4,2017,1.ALL,5233,8795,6406,8831,2255,0
2018,17Jan2017,Tuesday,17,1,2017,4.OV,2337,7398,8888,4890,9973,1
2018,02Feb2017,Thursday,2,2,2017,4.OV,8218,5124,5294,1020,9545,1
2018,13Dec2017,Wednesday,13,12,2017,4.OV,5576,7605,2454,4960,5663,1
2018,22Feb2017,Wednesday,22,2,2017,3.EU,2995,9083,9939,9589,324,1
2018,14Oct2017,Saturday,14,10,2017,1.ALL,3019,9384,7680,4378,3416,0
2018,15Feb2017,Wednesday,15,2,2017,3.EU,365,5012,5933,5548,3783,0
2018,08Jun2017,Thursday,8,6,2017,3.EU,124,8853,2055,3081,3801,0
2018,23Jul2017,Sunday,23,7,2017,4.OV,9771,2420,5006,4975,9952,0
2018,14Aug2017,Monday,14,8,2017,2.UK,9046,8829,1860,683,2248,1
2018,15Oct2017,Sunday,15,10,2017,1.ALL,8069,9668,3227,8931,2901,0
2018,19May2017,Friday,19,5,2017,3.EU,9146,8406,560,1596,596,1
2018,02Aug2017,Wednesday,2,8,2017,3.EU,8046,9490,1554,8270,6612,1
2018,10Dec2017,Sunday,10,12,2017,1.ALL,4090,8901,9421,2140,1962,1
2018,29Mar2017,Wednesday,29,3,2017,4.OV,8607,9713,6747,7703,7728,0
2018,26Nov2017,Sunday,26,11,2017,1.ALL,5675,4717,3201,4397,9117,1
2018,06Jan2017,Friday,6,1,2017,2.UK,7188,8030,6745,7493,1789,0
2018,29Sep2017,Friday,29,9,2017,2.UK,7046,1988,1733,3218,8219,0
2018,20Jan2017,Friday,20,1,2017,4.OV,7637,732,6615,3079,9454,1
2018,17May2017,Wednesday,17,5,2017,3.EU,3011,5347,7153,1706,7752,0
2018,27Apr2017,Thursday,27,4,2017,4.OV,4406,9123,459,7076,4481,1
2018,16Jun2017,Friday,16,6,2017,1.ALL,7258,8627,823,4803,551,1
2018,18Oct2017,Wednesday,18,10,2017,2.UK,7779,7795,5389,8944,6930,1
2018,28Aug2017,Monday,28,8,2017,1.ALL,6319,8468,1645,1717,8343,1
2018,11Dec2017,Monday,11,12,2017,1.ALL,8728,1044,520,669,3883,0
2018,01Sep2017,Friday,1,9,2017,3.EU,9377,287,5762,812,3717,0
2018,27Dec2017,Wednesday,27,12,2017,2.UK,5433,622,2358,4672,8644,0
2018,17Nov2017,Friday,17,11,2017,3.EU,7227,5158,2093,2361,8069,1
2018,20Oct2017,Friday,20,10,2017,1.ALL,7088,3794,4795,8908,7874,1
2018,01Dec2017,Friday,1,12,2017,1.ALL,9663,3316,7376,8506,4146,1
2018,18Jun2017,Sunday,18,6,2017,4.OV,3796,7009,8966,6494,1126,0
2018,19Mar2017,Sunday,19,3,2017,2.UK,8355,1061,4046,1080,4225,0
2018,05Jun2017,Monday,5,6,2017,4.OV,3121,1905,4304,7359,1895,0
2018,29Apr2017,Saturday,29,4,2017,3.EU,5944,7144,3719,7326,7839,0
2018,13Feb2017,Monday,13,2,2017,1.ALL,811,1687,8165,4487,7032,0
2018,23Apr2017,Sunday,23,4,2017,3.EU,9933,7189,8238,262,2783,0
2018,08Jun2017,Thursday,8,6,2017,4.OV,6306,3173,5277,8051,5009,0
2018,17Sep2017,Sunday,17,9,2017,4.OV,935,7053,1234,8403,8979,1
2018,11Aug2017,Friday,11,8,2017,3.EU,5398,5431,9050,6666,118,0
2018,13Jul2017,Thursday,13,7,2017,2.UK,7929,8236,8217,7755,9802,0
2018,07May2017,Sunday,7,5,2017,2.UK,6484,3404,888,634,5473,0
2018,22Nov2017,Wednesday,22,11,2017,4.OV,6621,9214,3,4302,884,0
2018,10Jul2017,Monday,10,7,2017,3.EU,4444,6222,1416,7031,4960,0
2018,20Oct2017,Friday,20,10,2017,2.UK,9806,7123,666,3487,846,0
2018,05Dec2017,Tuesday,5,12,2017,3.EU,5865,8813,1629,18,800,0
2018,12Mar2017,Sunday,12,3,2017,1.ALL,9304,228,6771,1025,7281,1
2018,03Sep2017,Sunday,3,9,2017,2.UK,4073,2585,1555,3945,9180,1
2018,28Sep2017,Thursday,28,9,2017,2.UK,3643,7974,4021,4305,1854,1
2018,13Aug2017,Sunday,13,8,2017,1.ALL,633,7891,4941,838,8283,1
2018,22Sep2017,Friday,22,9,2017,2.UK,2333,2934,6513,1963,1391,0
2018,02Aug2017,Wednesday,2,8,2017,1.ALL,5638,550,9804,6137,3742,0
2018,25Jan2017,Wednesday,25,1,2017,2.UK,7836,3088,1699,8135,6792,0
2018,30Oct2017,Monday,30,10,2017,2.UK,5368,8414,5721,611,4659,1
2018,28Dec2017,Thursday,28,12,2017,4.OV,957,2099,7524,5572,7052,1
2018,22Jul2017,Saturday,22,7,2017,4.OV,5861,4090,6664,4150,7819,1
2018,19Jul2017,Wednesday,19,7,2017,2.UK,4862,6922,1278,6209,9688,0
2018,07Apr2017,Friday,7,4,2017,1.ALL,7192,884,2008,4152,9783,0
2018,19Jun2017,Monday,19,6,2017,3.EU,4332,2634,664,7454,3378,1
2018,10Nov2017,Friday,10,11,2017,4.OV,1307,4169,4228,1915,9324,0
2018,29Apr2017,Saturday,29,4,2017,1.ALL,8509,8371,8207,4627,7487,1
2018,04Jun2017,Sunday,4,6,2017,2.UK,4930,3292,6545,8403,336,0
2018,18Mar2017,Saturday,18,3,2017,1.ALL,5851,4513,8555,7028,9215,1
2018,27May2017,Saturday,27,5,2017,1.ALL,195,7906,4111,1268,7491,1
2018,02Sep2017,Saturday,2,9,2017,1.ALL,3920,1053,8684,2675,8451,0
2018,11Apr2017,Tuesday,11,4,2017,3.EU,6514,7480,9162,3558,9569,1
2018,28Aug2017,Monday,28,8,2017,1.ALL,457,1248,2147,1661,6303,1
2018,04Apr2017,Tuesday,4,4,2017,4.OV,8625,761,8943,9717,4186,1
2018,21Nov2017,Tuesday,21,11,2017,2.UK,1593,9367,7191,1671,3297,0
2018,09Oct2017,Monday,9,10,2017,2.UK,5622,8901,711,4,6542,0
2018,01Jul2017,Saturday,1,7,2017,4.OV,3257,1660,3931,2749,8734,0
2018,29Sep2017,Friday,29,9,2017,3.EU,1281,7099,5933,4358,6575,0
2018,05Nov2017,Sunday,5,11,2017,1.ALL,3261,5955,662,6377,3673,1
2018,03Jan2017,Tuesday,3,1,2017,4.OV,9210,227,7622,9026,307,1
2018,10Mar2017,Friday,10,3,2017,4.OV,3330,2400,107,6750,1890,0
2018,27Oct2017,Friday,27,10,2017,4.OV,1342,5806,6918,238,8048,1
2018,13Dec2017,Wednesday,13,12,2017,1.ALL,4037,3258,1181,1368,2697,1
2018,13Feb2017,Monday,13,2,2017,4.OV,7427,8436,6700,4613,3368,0
2018,10Jan2017,Tuesday,10,1,2017,2.UK,1673,9176,3633,8531,6674,0
2018,18Sep2017,Monday,18,9,2017,4.OV,3679,357,9294,4792,5448,1
2018,13Apr2017,Thursday,13,4,2017,2.UK,3730,7252,548,8140,8642,0
2018,25Mar2017,Saturday,25,3,2017,2.UK,3875,9727,1040,1944,6178,0
2018,17Mar2017,Friday,17,3,2017,1.ALL,9987,5367,4593,1641,5948,0
2018,06Sep2017,Wednesday,6,9,2017,3.EU,9356,7719,5389,2762,321,0
2018,07Feb2017,Tuesday,7,2,2017,3.EU,7581,8612,7669,5810,2970,1
2018,26May2017,Friday,26,5,2017,3.EU,4670,4466,5054,5593,1127,0
2018,22Nov2017,Wednesday,22,11,2017,4.OV,2607,1777,8106,5815,8571,0
2018,24Jun2017,Saturday,24,6,2017,1.ALL,8452,7827,1998,1840,8110,1
2018,18Aug2017,Friday,18,8,2017,2.UK,5714,7289,6242,886,3250,0
2018,26Jul2017,Wednesday,26,7,2017,4.OV,1622,3087,4601,8556,1825,0
2018,31Jul2017,Monday,31,7,2017,4.OV,1923,1472,5443,150,3764,0
2018,31Jul2017,Monday,31,7,2017,2.UK,9293,5522,6020,5561,7214,1
2018,19Jun2017,Monday,19,6,2017,1.ALL,1250,2476,1969,3502,6664,0
2018,27Sep2017,Wednesday,27,9,2017,1.ALL,9939,4683,2411,9656,2908,0
2018,23Jan2017,Monday,23,1,2017,4.OV,3684,4204,2645,321,7267,0
2018,30May2017,Tuesday,30,5,2017,3.EU,7743,4634,5606,1288,6095,0
2018,02Jan2017,Monday,2,1,2017,3.EU,5506,8310,8763,2849,9264,0
2018,07Dec2017,Thursday,7,12,2017,2.UK,6708,9474,7584,1534,8041,1
2018,10Nov2017,Friday,10,11,2017,2.UK,7441,2881,7310,148,9167,0
2018,04May2017,Thursday,4,5,2017,4.OV,7292,5805,9448,2986,2356,0
2018,17Feb2017,Friday,17,2,2017,2.UK,1263,2543,2706,4799,4002,0
2018,06Mar2017,Monday,6,3,2017,3.EU,6892,3206,796,3747,6242,1
2018,03Aug2017,Thursday,3,8,2017,2.UK,986,4840,8430,5715,5600,0
2018,17Jul2017,Monday,17,7,2017,2.UK,5285,1138,6247,1347,8304,0
2018,04May2017,Thursday,4,5,2017,3.EU,4360,1070,8265,2230,9863,1
2018,08Aug2017,Tuesday,8,8,2017,4.OV,8091,6357,7576,8285,825,1
2018,15Nov2017,Wednesday,15,11,2017,2.UK,8716,9231,4355,4265,7645,1
2018,01Sep2017,Friday,1,9,2017,4.OV,5947,4839,3535,8878,9172,0
2018,26Aug2017,Saturday,26,8,2017,4.OV,3406,1339,6090,9554,3327,1
2018,01Jul2017,Saturday,1,7,2017,4.OV,2387,4394,7741,2190,7938,1
2018,21Jan2017,Saturday,21,1,2017,4.OV,482,2275,194,68,1129,1
2018,01Aug2017,Tuesday,1,8,2017,3.EU,8633,4678,3006,5668,7473,1
2018,16Mar2017,Thursday,16,3,2017,3.EU,7384,5112,3748,4016,9529,1
2018,01May2017,Monday,1,5,2017,2.UK,9237,3975,4995,4681,6263,0
2018,16Oct2017,Monday,16,10,2017,3.EU,3010,4817,313,9299,1017,0
2018,14Nov2017,Tuesday,14,11,2017,1.ALL,4454,7846,1157,2370,8825,0
2018,05Feb2017,Sunday,5,2,2017,4.OV,2569,622,7603,3648,2176,0
2018,28Apr2017,Friday,28,4,2017,3.EU,3481,2092,4997,8064,336,0
2018,18Dec2017,Monday,18,12,2017,3.EU,5100,4017,8239,5800,3031,0
2018,20Mar2017,Monday,20,3,2017,4.OV,1176,8081,1831,5712,1577,1
2018,31Dec2017,Sunday,31,12,2017,2.UK,6409,7724,8065,6123,7704,1
2018,24Oct2017,Tuesday,24,10,2017,4.OV,968,6501,3827,4483,983,1
2018,26Aug2017,Saturday,26,8,2017,3.EU,6264,6370,9336,5662,2390,1
2018,08Aug2017,Tuesday,8,8,2017,3.EU,8061,3201,6794,4899,4951,0
2018,16May2017,Tuesday,16,5,2017,1.ALL,9887,102,406,8037,7106,0
2018,28May2017,Sunday,28,5,2017,2.UK,4495,1958,1619,5125,5710,1
2018,29Jun2017,Thursday,29,6,2017,4.OV,7333,8976,1746,4937,2680,1
2018,09Feb2017,Thursday,9,2,2017,2.UK,7179,5692,7512,4585,2364,0
2018,18Aug2017,Friday,18,8,2017,4.OV,4694,821,1502,8095,5906,1
2018,09Mar2017,Thursday,9,3,2017,2.UK,2529,5313,2656,6301,9466,0
2018,04May2017,Thursday,4,5,2017,3.EU,3625,3960,522,1059,7006,1
2018,29Jan2017,Sunday,29,1,2017,4.OV,9689,3117,2922,298,2204,1
2018,14Aug2017,Monday,14,8,2017,3.EU,2869,7125,1495,6589,2345,0
2018,19Jan2017,Thursday,19,1,2017,3.EU,1099,6002,5404,9149,1816,0
2018,20Aug2017,Sunday,20,8,2017,2.UK,6712,6600,9257,8489,4377,0
2018,04Feb2017,Saturday,4,2,2017,3.EU,979,3940,6878,5618,7289,0
2018,13Sep2017,Wednesday,13,9,2017,3.EU,5020,5068,3473,6339,8406,1
2018,09Apr2017,Sunday,9,4,2017,1.ALL,7653,493,3689,3016,7553,1
2018,05Apr2017,Wednesday,5,4,2017,1.ALL,8940,7812,9992,6427,2649,1
2018,15May2017,Monday,15,5,2017,2.UK,5696,4266,1160,8305,4227,0
2018,30Mar2017,Thursday,30,3,2017,4.OV,4749,835,3817,7103,2046,0
2018,15Feb2017,Wednesday,15,2,2017,3.EU,2836,3484,2095,1463,1286,0
2018,14Dec2017,Thursday,14,12,2017,3.EU,4072,4455,1335,4133,6226,0
2018,09Mar2017,Thursday,9,3,2017,3.EU,4695,3987,91,8826,4253,0
2018,25Jan2017,Wednesday,25,1,2017,4.OV,7027,8557,6290,144,1320,1
2018,28Oct2017,Saturday,28,10,2017,4.OV,3013,2402,5573,6149,7232,1
2018,28Sep2017,Thursday,28,9,2017,4.OV,2864,647,3441,5976,1774,1
2018,13Feb2017,Monday,13,2,2017,3.EU,1674,4898,7443,3209,7664,0
2018,30Jul2017,Sunday,30,7,2017,4.OV,2344,7022,8166,5702,1577,0
2018,09Jun2017,Friday,9,6,2017,1.ALL,552,4326,2660,3897,1085,1
2018,06Nov2017,Monday,6,11,2017,4.OV,6039,5704,7980,1134,8839,1
2018,12Dec2017,Tuesday,12,12,2017,4.OV,2186,1038,2247,3359,1997,0
2018,20Feb2017,Monday,20,2,2017,4.OV,5900,4766,7769,797,3302,0
2018,14Sep2017,Thursday,14,9,2017,1.ALL,5076,5198,3434,9948,7239,1
2018,17Feb2017,Friday,17,2,2017,4.OV,3591,8529,6918,1673,51,1
2018,28Dec2017,Thursday,28,12,2017,3.EU,211,6715,5386,2883,6963,0
2018,09Nov2017,Thursday,9,11,2017,1.ALL,5132,3670,804,7440,5786,1
2018,05Feb2017,Sunday,5,2,2017,1.ALL,1477,7165,9310,2951,8006,1
2018,15Oct2017,Sunday,15,10,2017,3.EU,71,2851,8211,4841,2456,0
2018,10Jun2017,Saturday,10,6,2017,4.OV,7635,8949,6176,2621,5885,0
2018,10May2017,Wednesday,10,5,2017,1.ALL,9823,3724,382,8153,3017,1
2018,25Apr2017,Tuesday,25,4,2017,2.UK,2880,2856,3989,2525,6876,0
2018,23Jan2017,Monday,23,1,2017,3.EU,8258,718,3807,6408,7484,0
2018,02Jun2017,Friday,2,6,2017,2.UK,609,5916,5715,5629,70,0
2018,17Apr2017,Monday,17,4,2017,3.EU,5473,9066,2870,993,9070,1
2018,17Jun2017,Saturday,17,6,2017,4.OV,4191,4116,9773,6996,4923,1
2018,08Dec2017,Friday,8,12,2017,3.EU,4620,1532,1408,937,695,1
2018,10Jun2017,Saturday,10,6,2017,1.ALL,4177,9176,2580,5112,3241,0
2018,17May2017,Wednesday,17,5,2017,2.UK,7200,2746,3945,6748,5144,0
2018,09Jul2017,Sunday,9,7,2017,4.OV,2955,735,9125,611,3467,1
2018,13Dec2017,Wednesday,13,12,2017,1.ALL,8879,7904,6726,6369,1998,0
2018,04Jul2017,Tuesday,4,7,2017,2.UK,3039,7422,920,2663,3167,1
2018,01Aug2017,Tuesday,1,8,2017,1.ALL,3496,8868,3350,5596,9960,1
2018,26Sep2017,Tuesday,26,9,2017,4.OV,6532,8715,3793,2477,4917,1
2018,27Jul2017,Thursday,27,7,2017,4.OV,7010,1545,3572,1115,3968,1
2018,07Mar2017,Tuesday,7,3,2017,3.EU,3048,4429,274,5293,7670,0
2018,04Jun2017,Sunday,4,6,2017,2.UK,1894,7020,7342,123,1377,0
2018,28Jun2017,Wednesday,28,6,2017,3.EU,1205,4793,9317,6401,7221,1
2018,06Oct2017,Friday,6,10,2017,2.UK,7721,6469,7261,8300,2799,0
2018,03Feb2017,Friday,3,2,2017,4.OV,7995,1069,5832,5657,5993,1
2018,04Sep2017,Monday,4,9,2017,3.EU,761,8071,1809,2113,2734,1
2018,25Feb2017,Saturday,25,2,2017,3.EU,6231,1176,1810,575,3566,1
2018,07May2017,Sunday,7,5,2017,1.ALL,2691,181,5802,3256,367,1
2018,21Oct2017,Saturday,21,10,2017,3.EU,954,1157,2444,793,1079,1
2018,18Mar2017,Saturday,18,3,2017,2.UK,6944,5234,6448,8025,4326,1
2018,24Oct2017,Tuesday,24,10,2017,1.ALL,3288,1274,6786,2392,7477,1
2018,19Jun2017,Monday,19,6,2017,2.UK,3145,6643,4438,8676,4925,0
2018,02Jan2017,Monday,2,1,2017,2.UK,3399,9755,9512,4564,1791,1
2018,09Aug2017,Wednesday,9,8,2017,4.OV,2248,1805,604,6964,6270,0
2018,16Apr2017,Sunday,16,4,2017,4.OV,9556,3643,6187,6825,2849,0
2018,04Dec2017,Monday,4,12,2017,2.UK,8222,8547,4182,4807,7638,1
2018,13Jan2017,Friday,13,1,2017,4.OV,512,5711,9301,8072,9703,1
2018,16Sep2017,Saturday,16,9,2017,3.EU,8699,99,2022,7941,1663,0
2018,22Mar2017,Wednesday,22,3,2017,3.EU,7220,9677,7734,4587,6541,0
2018,17Nov2017,Friday,17,11,2017,2.UK,8658,3185,5656,2477,6042,0
2018,19Feb2017,Sunday,19,2,2017,2.UK,1311,4132,1735,3930,8339,1
2018,14Sep2017,Thursday,14,9,2017,4.OV,2880,6642,6928,5643,268,1
2018,08Dec2017,Friday,8,12,2017,3.EU,8251,2783,5514,341,2947,1
2018,02Nov2017,Thursday,2,11,2017,3.EU,4753,9580,6936,7373,3344,1
2018,19Apr2017,Wednesday,19,4,2017,3.EU,4306,9904,8746,9542,297,0
2018,23Feb2017,Thursday,23,2,2017,3.EU,5092,2221,9028,4656,2708,0
2018,17Dec2017,Sunday,17,12,2017,4.OV,6343,7592,9650,1786,2481,0
2018,26May2017,Friday,26,5,2017,3.EU,4370,4252,8620,1501,6947,1
2018,04Mar2017,Saturday,4,3,2017,2.UK,8113,8760,7374,4232,1030,0
2018,21Feb2017,Tuesday,21,2,2017,4.OV,2009,9149,6705,3400,8339,1
2018,06May2017,Saturday,6,5,2017,4.OV,7699,3592,7359,9443,6438,0
2018,12May2017,Friday,12,5,2017,2.UK,3561,3450,2275,7394,727,0
2018,23Nov2017,Thursday,23,11,2017,3.EU,8424,7464,3847,2360,1437,0
2018,14Jul2017,Friday,14,7,2017,4.OV,317,4903,3422,6924,6023,1
2018,22Sep2017,Friday,22,9,2017,2.UK,11,3672,4837,5971,4878,0
2018,26May2017,Friday,26,5,2017,4.OV,3324,2607,4007,6817,3083,0
2018,02Aug2017,Wednesday,2,8,2017,1.ALL,2290,9149,9570,2892,544,1
2018,02Jun2017,Friday,2,6,2017,3.EU,3830,9487,283,8131,9483,0
2018,14Oct2017,Saturday,14,10,2017,4.OV,3074,5458,741,4134,2011,1
2018,18May2017,Thursday,18,5,2017,3.EU,5843,134,1414,2255,2993,0
